Hours;DK1;DK2;DK;SYS;DK1;DK2
11Ê-Ê12;2626;1933;4559;225,14;247,97;247,97
12Ê-Ê13;2568;1922;4490;207;217,6;217,6
13Ê-Ê14;2495;1903;4398;192,08;196,33;196,33
14Ê-Ê15;2447;1879;4326;194,69;190,06;190,06
15Ê-Ê16;2448;1885;4333;199,47;191,03;191,03
16Ê-Ê17;2607;2000;4607;234,24;224,76;224,99
17Ê-Ê18;2902;2180;5082;246,03;287,3;304,09
18Ê-Ê19;2807;2136;4943;240,29;289,16;303,94
19Ê-Ê20;2605;1991;4596;206,93;226,03;226,03
20Ê-Ê21;2458;1875;4333;193,5;195,36;195,36
21Ê-Ê22;2327;1773;4100;189,17;187,08;187,08
22Ê-Ê23;2195;1658;3853;185,21;184,47;184,47
23Ê-Ê00;2043;1543;3586;176,56;175,66;175,66
00Ê-Ê01;1952;1442;3394;162,38;155,67;163,28
01Ê-Ê02;1887;1386;3273;151,12;151,12;151,12
02Ê-Ê03;1847;1359;3206;154,62;154,92;154,92
03Ê-Ê04;1834;1349;3183;155,97;156,49;156,49
04Ê-Ê05;1863;1352;3215;155,37;155,89;155,89
05Ê-Ê06;1925;1392;3317;155,89;156,26;156,26
06Ê-Ê07;2052;1463;3515;150,15;150,15;150,15
07Ê-Ê08;2228;1565;3793;166,49;166,79;166,79
08Ê-Ê09;2416;1679;4095;175,44;175,52;175,52
09Ê-Ê10;2509;1800;4309;183,43;183,43;183,43
10Ê-Ê11;2528;1849;4377;195;197,31;197,31
11Ê-Ê12;2498;1843;4341;197,46;203,43;203,43
12Ê-Ê13;2434;1804;4238;193,88;193,73;193,73
13Ê-Ê14;2403;1771;4174;193,8;193,8;193,8
14Ê-Ê15;2389;1778;4167;192,76;190,74;190,74
15Ê-Ê16;2392;1812;4204;207,53;197,16;197,16
16Ê-Ê17;2590;1948;4538;232,53;238,35;238,35
17Ê-Ê18;2992;2167;5159;248,87;294,69;294,69
18Ê-Ê19;2931;2148;5079;254,47;319,4;319,4
19Ê-Ê20;2743;2007;4750;245,44;283,43;283,43
20Ê-Ê21;2557;1878;4435;208,58;240,52;242,53
21Ê-Ê22;2434;1767;4201;201,19;195,37;196,94
22Ê-Ê23;2281;1626;3907;193,35;191,04;191,04
23Ê-Ê00;2153;1518;3671;182,09;182,01;182,01
00Ê-Ê01;2061;1438;3499;176,04;158,06;178,8
01Ê-Ê02;2015;1374;3389;173,43;175,14;175,14
02Ê-Ê03;1988;1357;3345;173,73;175,82;175,82
03Ê-Ê04;1981;1375;3356;173,95;175,07;175,07
04Ê-Ê05;2066;1407;3473;181,49;175,44;175,44
05Ê-Ê06;2235;1526;3761;197,53;180,97;180,97
06Ê-Ê07;2669;1779;4448;245,07;201,11;201,11
07Ê-Ê08;3144;2068;5212;595,96;343,35;348,35
08Ê-Ê09;3301;2156;5457;668,71;372,98;612,97
09Ê-Ê10;3238;2162;5400;566,78;377,15;401,41
10Ê-Ê11;3264;2125;5389;386,86;372,45;382,45
11Ê-Ê12;3242;2100;5342;383,95;361,48;361,48
12Ê-Ê13;3151;2121;5272;414,02;338,95;350,22
13Ê-Ê14;3140;2114;5254;421,18;334,54;345,66
14Ê-Ê15;3049;2094;5143;413,87;325,74;341,48
15Ê-Ê16;2984;2067;5051;521,33;356,33;369,62
16Ê-Ê17;3067;2136;5203;669,01;358,72;606,78
17Ê-Ê18;3363;2338;5701;679,39;451,85;709,39
18Ê-Ê19;3185;2301;5486;568,94;416,41;473,05
19Ê-Ê20;2978;2111;5089;362,68;318,2;356,86
20Ê-Ê21;2774;1979;4753;261,11;245,74;255,52
21Ê-Ê22;2596;1845;4441;218,43;194,32;198,35
22Ê-Ê23;2407;1693;4100;191,04;185,22;185,22
23Ê-Ê00;2154;1528;3682;178,43;177,09;177,09
00Ê-Ê01;2072;1435;3507;177,69;0,07;183,06
01Ê-Ê02;2031;1364;3395;173,51;23,06;176,12
02Ê-Ê03;2078;1343;3421;172,32;174,03;174,03
03Ê-Ê04;2063;1356;3419;175,83;177,47;177,47
04Ê-Ê05;2084;1389;3473;186,2;182,17;182,17
05Ê-Ê06;2220;1497;3717;214,93;193,21;196,2
06Ê-Ê07;2635;1760;4395;277,99;238,07;238,07
07Ê-Ê08;3095;2046;5141;411,73;244,48;447,92
08Ê-Ê09;3264;2146;5410;523,07;484,34;552,7
09Ê-Ê10;3170;2126;5296;493,22;487,7;499,64
10Ê-Ê11;3258;2166;5424;456,43;457,55;457,55
11Ê-Ê12;3230;2103;5333;457,33;458,45;458,45
12Ê-Ê13;3063;2099;5162;440,16;440,16;440,16
